,H2 burden [Tg],H2 surf. conc [ppbv],H2 atm loss [Tg/yr],H2 atm prod [Tg/yr],H2 soil sink [Tg/yr],H2 estimated emissions [Tg/yr],H2 atm lifetime [yrs],H2 soil sink lifetime [yrs],H2 total lifetime [yrs]
CNTR,204.61731157333332,559.2132394661261,29.16682433193649,55.80309452782843,58.01813037146545,31.381860175573514,7.015412759533292,3.5267822362295296,2.3469337372420425
antro01,204.83239662933326,559.8346468144616,29.19655469783101,55.80211980466045,58.0875059478546,31.481940841025164,7.015635877220475,3.5262728754994606,2.3467331276075085
antro1,206.768242688,565.4284695436668,29.463989854697367,55.793421426171854,58.71200135051307,32.38256977903858,7.017659309132414,3.521737258683877,2.344949456896854
antro10,226.13948416,621.4016165399485,32.128477239340526,55.706613466449035,64.96002957343164,41.38189334632313,7.0385995101908465,3.481209686094263,2.32920962103262
antro100,422.5464538453334,1188.7374547436755,58.04539353262467,54.87800591828892,128.20973751702613,131.37712513136188,7.2795863397469995,3.2957438493251705,2.2686432930145344
epia,206.54873122133333,565.221614939877,29.433302140862295,55.7940855545663,58.745556359020995,32.38477294531699,7.0175181239546145,3.515989021518827,2.3423838177901417
maud,207.17768021333333,568.3640357277145,29.49807371662058,55.79109094662188,58.67697318361496,32.383955953613665,7.02343082479314,3.5308174394923615,2.3496180325000755
maxdep,206.58943590400003,564.6346067961041,29.439920975582183,55.79397631256302,58.73413500493601,32.38007966795517,7.017323044968352,3.5173657684179442,2.3429730390268695
munich,206.66756437333333,565.4416687554409,29.450073024057353,55.79356285706368,58.720277475563755,32.37678764255743,7.017556941353235,3.519526358834686,2.3439576138944966
nemo,207.15230276266664,567.0611247158398,29.49878076808192,55.79110380953527,58.67679793397645,32.3844748925231,7.022402193205497,3.530395489470231,2.3493160556691746
usdrydep,206.3753570986666,564.3676552256825,29.4117621563789,55.79489524883385,58.765182456192534,32.38204936373758,7.0167627495895335,3.511864482893633,2.3404684524444677
zep,206.6875501226667,565.8445889145246,29.446624762715828,55.79356034172022,58.72920646895648,32.38227088995208,7.019057422987453,3.519331565154369,2.344038578775831
10CH4_SSP119,188.1276975786667,514.3569063264434,25.15403644200307,47.17062424231076,53.42588428152792,31.40929648122023,7.479026199728511,3.5212837393074676,2.394093756349786
10CH4_SSP434,234.9317638826667,639.8112492689611,28.617554661824883,63.4320798261469,66.13346323263083,31.318938068308817,8.209358439561571,3.5523886456130627,2.4794642749311673
10CH4_SSP585,245.20931464533336,667.6169102417227,31.397362283764437,69.03579482080951,68.93633076050385,31.297898223458773,7.809869900190023,3.5570404159924154,2.443937895689182
CNTR_SSP119,180.97834120533332,495.27914516502403,24.943170580596018,45.023135160242155,51.50535483179519,31.42539025214905,7.255626970940149,3.513777194553218,2.367322851932986
CNTR_SSP434,224.97497497600003,613.3166780220467,28.304495624217118,60.42693810312796,63.46485937462365,31.34241689571281,7.948383110685537,3.544874710081781,2.4515261655575755
CNTR_SSP585,234.1178094933333,638.0722619225893,31.013814055627265,65.64970221518533,65.95774548149514,31.321857321937074,7.548823536292986,3.549512006274025,2.414293537309864
antro10_SSP119,202.80248319999998,558.2937764241386,27.819832978220184,44.92665577700304,58.533563956530465,41.42674115774761,7.28985265147967,3.464721255493853,2.348517723665686
antro10_SSP434,247.34954291200003,677.9080843330477,31.014660671426554,60.323386280736806,70.65191106483974,41.343185455529486,7.9752458210797155,3.5009604012692406,2.4329485954700094
antro10_SSP585,256.0896109226667,701.5620697755617,33.832278702050175,65.54083140332563,73.03016221490631,41.32160951363086,7.569387009901527,3.5066279898033117,2.3964417125908213
