,deltaCH4,surf_ch4_per_ch4_flux,h2_flux_per_ch4_flux,ozone_rf_per_ch4_flux,h2o_rf_per_ch4_flux,aerosol_rf_per_ch4_flux
CNTR,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
antro01,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
antro1,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
antro10,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
antro100,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
nemo,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
epia,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
munich,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
usdrydep,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
maud,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
zep,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
maxdep,49.66876230560581,3.650302696662327,0.015022408545077514,0.8207875152829975,0.19187109880779948,
SSP119,37.77550249447597,3.777258445273434,0.056422685878274266,0.8876308132473764,0.28854679038601644,
SSP434,52.080026647725504,4.268069614910234,0.057251562403821545,0.8434500292621956,0.32834084582302747,
SSP585,58.61096918748967,4.172970126437471,0.05736355419052721,0.8485612964512415,0.3224652358083535,
